Date,Open,High,Low,Close,Adj Close,Volume
1994-11-11,3.0,3.0,2.984375,2.984375,2.218245506286621,276800
1994-11-14,2.984375,3.0,2.96875,3.0,2.229858875274658,741600
1994-11-15,3.0,3.0,2.9375,2.96875,2.2066314220428467,1476000
1994-11-16,2.984375,3.0625,2.953125,3.0625,2.276312828063965,296800
1994-11-17,3.03125,3.078125,3.03125,3.03125,2.2530858516693115,282400
1994-11-18,3.0,3.03125,3.0,3.0,2.229858875274658,16000
1994-11-21,3.015625,3.03125,2.984375,2.984375,2.218245506286621,58400
1994-11-22,2.953125,2.953125,2.734375,2.75,2.0440385341644287,560800
1994-11-23,2.75,2.796875,2.703125,2.78125,2.067265033721924,1832800
1994-11-25,2.796875,2.796875,2.78125,2.796875,2.07887864112854,7200
1994-11-28,2.78125,2.890625,2.78125,2.890625,2.148561954498291,160000
1994-11-29,2.859375,2.875,2.84375,2.859375,2.1253340244293213,114400
1994-11-30,2.875,2.953125,2.875,2.9375,2.183403253555298,233600
1994-12-01,2.921875,2.9375,2.875,2.9375,2.183403253555298,163200
1994-12-02,2.921875,2.921875,2.90625,2.90625,2.160175323486328,60800
1994-12-05,2.921875,2.921875,2.890625,2.890625,2.148561954498291,210400
1994-12-06,2.90625,2.953125,2.90625,2.921875,2.1717889308929443,291200
1994-12-07,2.90625,2.9375,2.875,2.921875,2.1717889308929443,356000
1994-12-08,2.859375,2.890625,2.859375,2.875,2.136946439743042,248800
1994-12-09,2.875,2.890625,2.875,2.890625,2.148561954498291,210400
1994-12-12,2.882812976837158,2.890625,2.875,2.890625,2.148561954498291,364800
1994-12-13,2.890625,2.921875,2.890625,2.921875,2.1717889308929443,318400
1994-12-14,2.90625,3.015625,2.90625,3.015625,2.2414729595184326,546400
1994-12-15,3.015625,3.015625,2.984375,3.0,2.229858875274658,146400
1994-12-16,3.03125,3.03125,2.96875,3.03125,2.2530858516693115,1188800
1994-12-19,3.046875,3.046875,3.0,3.03125,2.2530858516693115,45600
1994-12-20,3.015625,3.015625,2.9375,2.96875,2.2066314220428467,1122400
1994-12-21,2.984375,2.984375,2.921875,2.984375,2.218245506286621,94400
1994-12-22,3.0,3.015625,3.0,3.0,2.229858875274658,299200
1994-12-23,3.03125,3.09375,3.03125,3.078125,2.2879281044006348,176800
1994-12-27,3.09375,3.09375,3.03125,3.03125,2.2530858516693115,33600
1994-12-28,3.0625,3.125,3.0625,3.09375,2.2995405197143555,349600
1994-12-29,3.09375,3.125,3.078125,3.125,2.3227696418762207,116800
1994-12-30,3.125,3.140625,3.09375,3.140625,2.3343825340270996,323200
1995-01-03,3.125,3.15625,3.125,3.15625,2.345996856689453,448800
1995-01-04,3.140625,3.1875,3.140625,3.1875,2.369225263595581,499200
1995-01-05,3.171875,3.1875,3.15625,3.171875,2.3576102256774902,16000
1995-01-06,3.1875,3.21875,3.15625,3.21875,2.3924522399902344,670400
1995-01-09,3.25,3.25,3.234375,3.25,2.415680408477783,31200
1995-01-10,3.25,3.265625,3.234375,3.234375,2.4040675163269043,48000
1995-01-11,3.234375,3.234375,3.125,3.171875,2.3576102256774902,660800
1995-01-12,3.171875,3.171875,3.140625,3.171875,2.3576102256774902,40800
1995-01-13,3.1875,3.21875,3.140625,3.140625,2.3343825340270996,46400
1995-01-16,3.15625,3.1875,3.140625,3.1875,2.369225263595581,20000
1995-01-17,3.171875,3.21875,3.171875,3.21875,2.3924522399902344,92800
1995-01-18,3.21875,3.21875,3.109375,3.109375,2.311154365539551,58400
1995-01-19,3.078125,3.09375,3.0625,3.0625,2.276312828063965,18400
1995-01-20,3.078125,3.078125,2.953125,2.96875,2.2066314220428467,113600
1995-01-23,2.96875,3.046875,2.96875,3.046875,2.2646994590759277,240000
1995-01-24,3.03125,3.0625,3.03125,3.0625,2.276312828063965,39200
